prompt,temp,repeat,E,F,N,M,B,bal,status
Объясните архитектур,0.0,0,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Объясните архитектур,0.0,1,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Объясните архитектур,0.0,2,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Объясните архитектур,0.0,3,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Объясните архитектур,0.0,4,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Объясните архитектур,0.4,0,0.7,0.9,0.85,0.75,0.05,0.8689,STABLE
Объясните архитектур,0.4,1,0.7,0.9,0.85,0.75,0.1,0.8564,STABLE
Объясните архитектур,0.4,2,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Объясните архитектур,0.4,3,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Объясните архитектур,0.4,4,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Объясните архитектур,0.8,0,0.75,0.9,0.9,0.8,0.0,0.9026,STABLE
Объясните архитектур,0.8,1,0.7,0.9,0.85,0.8,0.0,0.8891,STABLE
Объясните архитектур,0.8,2,0.75,0.95,0.9,0.85,0.05,0.8766,STABLE
Объясните архитектур,0.8,3,0.7,0.9,0.85,0.8,0.0,0.8891,STABLE
Объясните архитектур,0.8,4,0.75,0.9,0.9,0.8,0.0,0.9026,STABLE
Опишите когнитивные ,0.0,0,0.7,0.9,0.9,0.85,0.0,0.877,STABLE
Опишите когнитивные ,0.0,1,0.7,0.9,0.9,0.85,0.0,0.877,STABLE
Опишите когнитивные ,0.0,2,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Опишите когнитивные ,0.0,3,0.7,0.9,0.9,0.85,0.0,0.877,STABLE
Опишите когнитивные ,0.0,4,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Опишите когнитивные ,0.4,0,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Опишите когнитивные ,0.4,1,0.75,0.9,0.9,0.85,0.0,0.9081,STABLE
Опишите когнитивные ,0.4,2,0.7,0.9,0.9,0.8,0.0,0.8756,STABLE
Опишите когнитивные ,0.4,3,0.7,0.9,0.85,0.8,0.0,0.8891,STABLE
Опишите когнитивные ,0.4,4,0.7,0.9,0.85,0.85,0.0,0.8875,STABLE
Опишите когнитивные ,0.8,0,0.7,0.9,0.85,0.8,0.0,0.8891,STABLE
Опишите когнитивные ,0.8,1,0.78,0.9,0.88,0.83,0.0,0.9301,STABLE
Опишите когнитивные ,0.8,2,0.75,0.9,0.85,0.8,0.0,0.9161,STABLE
Опишите когнитивные ,0.8,3,0.7,0.9,0.9,0.8,0.0,0.8756,STABLE
Опишите когнитивные ,0.8,4,0.7,0.9,0.85,0.85,0.0,0.8875,STABLE
Write a haiku about ,0.0,0,0.75,0.15,0.95,0.25,0.0,0.4983,DOM
Write a haiku about ,0.0,1,0.75,0.15,0.95,0.25,0.0,0.4983,DOM
Write a haiku about ,0.0,2,0.75,0.15,0.95,0.25,0.0,0.4983,DOM
Write a haiku about ,0.0,3,0.75,0.15,0.95,0.25,0.0,0.4983,DOM
Write a haiku about ,0.0,4,0.75,0.15,0.95,0.25,0.0,0.4983,DOM
Write a haiku about ,0.4,0,0.75,0.25,0.95,0.2,0.0,0.5187,DRIFTING
Write a haiku about ,0.4,1,0.75,0.35,0.95,0.25,0.0,0.5708,DRIFTING
Write a haiku about ,0.4,2,0.75,0.3,0.4,0.25,0.0,0.7071,STABLE
Write a haiku about ,0.4,3,0.7,0.25,0.95,0.2,0.05,0.5176,DRIFTING
Write a haiku about ,0.4,4,0.7,0.25,0.95,0.2,0.0,0.5301,DRIFTING
Write a haiku about ,0.8,0,0.8,0.25,0.95,0.2,0.0,0.5053,DRIFTING
Write a haiku about ,0.8,1,0.7,0.3,0.95,0.25,0.0,0.5659,DRIFTING
Write a haiku about ,0.8,2,0.7,0.25,0.95,0.15,0.0,0.51,DRIFTING
Write a haiku about ,0.8,3,0.75,0.35,0.9,0.25,0.0,0.5948,DRIFTING
Write a haiku about ,0.8,4,0.75,0.25,0.3,0.25,0.0,0.6846,DRIFTING
